signal,0,1,2,3
PPG,89.74358974358975,85.65217391304348,86.64987405541562,86.81626928471248
PPG,88.10810810810811,89.33975240715269,85.52036199095022,84.9570200573066
PPG,89.69072164948454,85.8806404657933,84.92307692307692,84.97913769123782
PPG,90.625,87.422934648582,84.22619047619048,83.5820895522388
ECG,86.13138686131386,22.718052738336713,21.612903225806452,7.325383304940375
ECG,89.80891719745223,75.84846093133386,76.49769585253456,66.20583717357911
ECG,87.42138364779875,62.673611111111114,29.71014492753623,18.02773497688752
ECG,91.9753086419753,66.49417852522639,80.53097345132744,50.08210180623974
