time,projectId,userId,metric_id,chunk_index,quality,body_pose,led_pd_pos,offset_column,exp,led,gain,value
1667895301.875,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.882,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.89,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.898,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.906,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.914,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.921,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.929,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.937,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.945,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.953,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.96,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.968,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.976,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.984,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895301.992,SCAI_PILOT,user_sensei_178,0x7b,10,4,1,22,0,0,37,2,65535
1667895302.0,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,37,2,65535
1667895302.007,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,37,2,65535
1667895302.015,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,37,2,65535
1667895302.023,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,37,2,65535
1667895302.031,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,37,2,65535
1667895302.039,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,37,2,65535
1667895302.046,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,37,2,65535
1667895302.054,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,37,2,65535
1667895302.062,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.07,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.078,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.085,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.093,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.101,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.109,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.117,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.125,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.132,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
