projectId,userId,time,ecg
SCAI-ECG-BP,user_sensei_223,1668437747.4468124,-0.085
SCAI-ECG-BP,user_sensei_223,1668437747.454625,-0.135
SCAI-ECG-BP,user_sensei_223,1668437747.4624374,-0.218
SCAI-ECG-BP,user_sensei_223,1668437747.47025,-0.271
SCAI-ECG-BP,user_sensei_223,1668437747.4780624,-0.314
SCAI-ECG-BP,user_sensei_223,1668437747.485875,-0.339
SCAI-ECG-BP,user_sensei_223,1668437747.4936874,-0.354
SCAI-ECG-BP,user_sensei_223,1668437747.5015,-0.354
SCAI-ECG-BP,user_sensei_223,1668437747.5093124,-0.331
SCAI-ECG-BP,user_sensei_223,1668437747.517125,-0.312
SCAI-ECG-BP,user_sensei_223,1668437747.5249374,-0.303
SCAI-ECG-BP,user_sensei_223,1668437747.53275,-0.29
SCAI-ECG-BP,user_sensei_223,1668437747.5405624,-0.294
SCAI-ECG-BP,user_sensei_223,1668437747.548375,-0.309
SCAI-ECG-BP,user_sensei_223,1668437747.5561874,-0.334
SCAI-ECG-BP,user_sensei_223,1668437747.564,-0.332
SCAI-ECG-BP,user_sensei_223,1668437747.5718124,-0.328
SCAI-ECG-BP,user_sensei_223,1668437747.579625,-0.351
SCAI-ECG-BP,user_sensei_223,1668437747.5874374,-0.352
SCAI-ECG-BP,user_sensei_223,1668437747.59525,-0.347
SCAI-ECG-BP,user_sensei_223,1668437747.6030624,-0.393
SCAI-ECG-BP,user_sensei_223,1668437747.610875,-0.436
SCAI-ECG-BP,user_sensei_223,1668437747.6186874,-0.469
SCAI-ECG-BP,user_sensei_223,1668437747.6265,-0.493
SCAI-ECG-BP,user_sensei_223,1668437747.6343124,-0.49
SCAI-ECG-BP,user_sensei_223,1668437747.642125,-0.505
SCAI-ECG-BP,user_sensei_223,1668437747.6499374,-0.494
SCAI-ECG-BP,user_sensei_223,1668437747.65775,-0.544
SCAI-ECG-BP,user_sensei_223,1668437747.6655624,-0.551
SCAI-ECG-BP,user_sensei_223,1668437747.673375,-0.615
SCAI-ECG-BP,user_sensei_223,1668437747.6811874,-0.601
SCAI-ECG-BP,user_sensei_223,1668437747.689,-0.611
SCAI-ECG-BP,user_sensei_223,1668437747.6968124,-0.611
SCAI-ECG-BP,user_sensei_223,1668437747.704625,-0.639
SCAI-ECG-BP,user_sensei_223,1668437747.7124374,-0.643
SCAI-ECG-BP,user_sensei_223,1668437747.72025,-0.589
SCAI-ECG-BP,user_sensei_223,1668437747.7280624,-0.611
SCAI-ECG-BP,user_sensei_223,1668437747.735875,-0.621
SCAI-ECG-BP,user_sensei_223,1668437747.7436874,-0.611
SCAI-ECG-BP,user_sensei_223,1668437747.7515,-0.602
SCAI-ECG-BP,user_sensei_223,1668437747.7593124,-0.625
SCAI-ECG-BP,user_sensei_223,1668437747.767125,-0.624
SCAI-ECG-BP,user_sensei_223,1668437747.7749374,-0.591
SCAI-ECG-BP,user_sensei_223,1668437747.78275,-0.553
SCAI-ECG-BP,user_sensei_223,1668437747.7905624,-0.297
SCAI-ECG-BP,user_sensei_223,1668437747.798375,0.544
SCAI-ECG-BP,user_sensei_223,1668437747.8061874,-0.696
SCAI-ECG-BP,user_sensei_223,1668437747.814,-0.968
SCAI-ECG-BP,user_sensei_223,1668437747.8218124,-0.662
SCAI-ECG-BP,user_sensei_223,1668437747.829625,-0.377
SCAI-ECG-BP,user_sensei_223,1668437747.8374374,-0.3
SCAI-ECG-BP,user_sensei_223,1668437747.84525,-0.297
