projectId,userId,time,x,y,z
SCAI-ECG-BP,user_sensei_642,1667910941.616,-979,1258,492
SCAI-ECG-BP,user_sensei_642,1667910941.816,-1368,1553,807
SCAI-ECG-BP,user_sensei_642,1667910942.016,-933,1119,939
SCAI-ECG-BP,user_sensei_642,1667910942.216,-1036,1473,1028
SCAI-ECG-BP,user_sensei_642,1667910942.416,-2236,971,1072
SCAI-ECG-BP,user_sensei_642,1667910942.616,-1258,1713,1246
SCAI-ECG-BP,user_sensei_642,1667910942.816,-1130,1478,1030
SCAI-ECG-BP,user_sensei_642,1667910943.016,-1184,1453,992
SCAI-ECG-BP,user_sensei_642,1667910943.216,-1108,1466,851
SCAI-ECG-BP,user_sensei_642,1667910943.416,-1163,1484,826
SCAI-ECG-BP,user_sensei_642,1667910943.616,-1100,1678,873
SCAI-ECG-BP,user_sensei_642,1667910943.816,-1205,1378,958
SCAI-ECG-BP,user_sensei_642,1667910944.016,-1742,976,813
SCAI-ECG-BP,user_sensei_642,1667910944.216,1226,269,-2918
SCAI-ECG-BP,user_sensei_642,1667910944.416,-876,1300,856
SCAI-ECG-BP,user_sensei_642,1667910944.616,-1079,1542,881
SCAI-ECG-BP,user_sensei_642,1667910944.816,-1620,1732,969
SCAI-ECG-BP,user_sensei_642,1667910945.016,-605,1690,950
SCAI-ECG-BP,user_sensei_642,1667910945.216,-1032,1662,903
SCAI-ECG-BP,user_sensei_642,1667910945.416,-1439,1727,979
SCAI-ECG-BP,user_sensei_642,1667910945.616,-1002,1367,794
SCAI-ECG-BP,user_sensei_642,1667910945.816,-1100,1594,639
SCAI-ECG-BP,user_sensei_642,1667910946.016,-1177,1681,562
SCAI-ECG-BP,user_sensei_642,1667910946.216,-1085,1510,682
SCAI-ECG-BP,user_sensei_642,1667910946.416,-596,1843,321
SCAI-ECG-BP,user_sensei_642,1667910946.616,-1005,1651,729
SCAI-ECG-BP,user_sensei_642,1667910946.816,-896,1715,608
SCAI-ECG-BP,user_sensei_642,1667910947.016,-788,1685,631
SCAI-ECG-BP,user_sensei_642,1667910947.216,-879,1746,574
SCAI-ECG-BP,user_sensei_642,1667910947.416,-927,1723,586
SCAI-ECG-BP,user_sensei_642,1667910947.616,-912,1700,572
SCAI-ECG-BP,user_sensei_642,1667910947.816,-928,1750,601
SCAI-ECG-BP,user_sensei_642,1667910948.016,-891,1742,578
SCAI-ECG-BP,user_sensei_642,1667910948.216,-884,1731,560
SCAI-ECG-BP,user_sensei_642,1667910948.416,-905,1692,577
SCAI-ECG-BP,user_sensei_642,1667910948.616,-886,1716,585
SCAI-ECG-BP,user_sensei_642,1667910948.816,-893,1712,553
SCAI-ECG-BP,user_sensei_642,1667910949.016,-881,1753,580
SCAI-ECG-BP,user_sensei_642,1667910949.216,-863,1733,574
SCAI-ECG-BP,user_sensei_642,1667910949.416,-870,1777,589
SCAI-ECG-BP,user_sensei_642,1667910949.616,-880,1770,568
SCAI-ECG-BP,user_sensei_642,1667910949.816,-891,1734,540
SCAI-ECG-BP,user_sensei_642,1667910950.016,-877,1745,538
SCAI-ECG-BP,user_sensei_642,1667910950.216,-878,1747,584
SCAI-ECG-BP,user_sensei_642,1667910950.416,-903,1728,580
SCAI-ECG-BP,user_sensei_642,1667910950.616,-899,1750,580
SCAI-ECG-BP,user_sensei_642,1667910950.816,-924,1732,551
SCAI-ECG-BP,user_sensei_642,1667910951.016,-949,1718,532
SCAI-ECG-BP,user_sensei_642,1667910951.216,-921,1745,474
SCAI-ECG-BP,user_sensei_642,1667910951.416,-933,1736,510
SCAI-ECG-BP,user_sensei_642,1667910951.616,-950,1738,494
SCAI-ECG-BP,user_sensei_642,1667910951.816,-907,1726,507
SCAI-ECG-BP,user_sensei_642,1667910952.016,-872,1768,471
SCAI-ECG-BP,user_sensei_642,1667910952.216,-941,1757,500
SCAI-ECG-BP,user_sensei_642,1667910952.416,-924,1740,540
SCAI-ECG-BP,user_sensei_642,1667910952.616,-888,1727,517
SCAI-ECG-BP,user_sensei_642,1667910952.816,-923,1728,498
SCAI-ECG-BP,user_sensei_642,1667910953.016,-891,1722,543
SCAI-ECG-BP,user_sensei_642,1667910953.216,-949,1754,516
SCAI-ECG-BP,user_sensei_642,1667910953.416,-872,1682,549
SCAI-ECG-BP,user_sensei_642,1667910953.616,-904,1739,501
SCAI-ECG-BP,user_sensei_642,1667910953.816,-920,1742,446
SCAI-ECG-BP,user_sensei_642,1667910954.016,-893,1741,513
SCAI-ECG-BP,user_sensei_642,1667910954.216,-926,1680,602
SCAI-ECG-BP,user_sensei_642,1667910954.416,-918,1673,561
SCAI-ECG-BP,user_sensei_642,1667910954.616,-896,1785,474
SCAI-ECG-BP,user_sensei_642,1667910954.816,-871,1738,538
SCAI-ECG-BP,user_sensei_642,1667910955.016,-841,1767,568
SCAI-ECG-BP,user_sensei_642,1667910955.216,-876,1754,581
SCAI-ECG-BP,user_sensei_642,1667910955.416,-842,1748,563
SCAI-ECG-BP,user_sensei_642,1667910955.616,-869,1747,585
SCAI-ECG-BP,user_sensei_642,1667910955.816,-835,1746,582
SCAI-ECG-BP,user_sensei_642,1667910956.016,-826,1762,594
SCAI-ECG-BP,user_sensei_642,1667910956.216,-824,1765,604
SCAI-ECG-BP,user_sensei_642,1667910956.416,-816,1769,606
SCAI-ECG-BP,user_sensei_642,1667910956.616,-833,1752,581
SCAI-ECG-BP,user_sensei_642,1667910956.816,-828,1764,593
SCAI-ECG-BP,user_sensei_642,1667910957.016,-793,1768,606
SCAI-ECG-BP,user_sensei_642,1667910957.216,-811,1763,603
SCAI-ECG-BP,user_sensei_642,1667910957.416,-813,1768,613
SCAI-ECG-BP,user_sensei_642,1667910957.616,-826,1768,570
SCAI-ECG-BP,user_sensei_642,1667910957.816,-805,1758,584
SCAI-ECG-BP,user_sensei_642,1667910958.016,-850,1795,603
SCAI-ECG-BP,user_sensei_642,1667910958.216,-798,1765,581
SCAI-ECG-BP,user_sensei_642,1667910958.416,-798,1775,587
SCAI-ECG-BP,user_sensei_642,1667910958.616,-787,1771,582
SCAI-ECG-BP,user_sensei_642,1667910958.816,-787,1769,592
SCAI-ECG-BP,user_sensei_642,1667910959.016,-802,1775,582
SCAI-ECG-BP,user_sensei_642,1667910959.216,-788,1795,599
SCAI-ECG-BP,user_sensei_642,1667910959.416,-781,1795,581
SCAI-ECG-BP,user_sensei_642,1667910959.616,-758,1778,573
SCAI-ECG-BP,user_sensei_642,1667910959.816,-780,1780,583
SCAI-ECG-BP,user_sensei_642,1667910960.016,-756,1801,544
SCAI-ECG-BP,user_sensei_642,1667910960.216,-808,1772,508
SCAI-ECG-BP,user_sensei_642,1667910960.416,-805,1783,553
SCAI-ECG-BP,user_sensei_642,1667910960.616,-817,1782,550
SCAI-ECG-BP,user_sensei_642,1667910960.816,-855,1836,526
SCAI-ECG-BP,user_sensei_642,1667910961.016,-792,1845,452
SCAI-ECG-BP,user_sensei_642,1667910961.216,-762,1953,383
SCAI-ECG-BP,user_sensei_642,1667910961.416,-694,1859,413
SCAI-ECG-BP,user_sensei_642,1667910961.616,-771,1742,422
SCAI-ECG-BP,user_sensei_642,1667910961.816,-934,1533,603
SCAI-ECG-BP,user_sensei_642,1667910962.016,-1108,1563,575
SCAI-ECG-BP,user_sensei_642,1667910962.216,-1231,1510,645
SCAI-ECG-BP,user_sensei_642,1667910962.416,-1224,1292,957
SCAI-ECG-BP,user_sensei_642,1667910962.616,-1262,1295,849
SCAI-ECG-BP,user_sensei_642,1667910962.816,-1361,1266,764
SCAI-ECG-BP,user_sensei_642,1667910963.016,-1427,1430,809
SCAI-ECG-BP,user_sensei_642,1667910963.216,-1361,1278,817
SCAI-ECG-BP,user_sensei_642,1667910963.416,-1337,1355,785
SCAI-ECG-BP,user_sensei_642,1667910963.616,-1238,1284,740
SCAI-ECG-BP,user_sensei_642,1667910963.816,-1458,1441,917
SCAI-ECG-BP,user_sensei_642,1667910964.016,-1230,1248,859
SCAI-ECG-BP,user_sensei_642,1667910964.216,-1378,1332,880
SCAI-ECG-BP,user_sensei_642,1667910964.416,-1207,1365,696
SCAI-ECG-BP,user_sensei_642,1667910964.616,-1505,1376,679
SCAI-ECG-BP,user_sensei_642,1667910964.816,-1386,1372,602
SCAI-ECG-BP,user_sensei_642,1667910965.016,-1535,1443,580
SCAI-ECG-BP,user_sensei_642,1667910965.216,-1368,1353,692
SCAI-ECG-BP,user_sensei_642,1667910965.416,-1350,1330,669
SCAI-ECG-BP,user_sensei_642,1667910965.616,-1567,1244,633
SCAI-ECG-BP,user_sensei_642,1667910965.816,-1447,1256,695
SCAI-ECG-BP,user_sensei_642,1667910966.016,-1018,1460,670
SCAI-ECG-BP,user_sensei_642,1667910966.216,-1021,1646,835
SCAI-ECG-BP,user_sensei_642,1667910966.416,-675,1752,728
SCAI-ECG-BP,user_sensei_642,1667910966.616,-768,1780,693
SCAI-ECG-BP,user_sensei_642,1667910966.816,-831,1754,674
SCAI-ECG-BP,user_sensei_642,1667910967.016,-820,1754,727
SCAI-ECG-BP,user_sensei_642,1667910967.216,-886,1704,683
SCAI-ECG-BP,user_sensei_642,1667910967.416,-924,1653,790
SCAI-ECG-BP,user_sensei_642,1667910967.616,-905,1851,671
SCAI-ECG-BP,user_sensei_642,1667910967.816,-1097,1561,671
SCAI-ECG-BP,user_sensei_642,1667910968.016,-1172,1438,731
SCAI-ECG-BP,user_sensei_642,1667910968.216,-1276,1392,786
SCAI-ECG-BP,user_sensei_642,1667910968.416,-1269,1415,769
SCAI-ECG-BP,user_sensei_642,1667910968.616,-1246,1392,796
SCAI-ECG-BP,user_sensei_642,1667910968.816,-1255,1400,758
