projectId,userId,time,rr
SCAI-ECG-BP,user_sensei_661,1668087811.581,11
SCAI-ECG-BP,user_sensei_661,1668087812.581,11
SCAI-ECG-BP,user_sensei_661,1668087813.581,11
SCAI-ECG-BP,user_sensei_661,1668087814.581,11
SCAI-ECG-BP,user_sensei_661,1668087815.581,11
SCAI-ECG-BP,user_sensei_661,1668087816.581,12
SCAI-ECG-BP,user_sensei_661,1668087817.581,12
SCAI-ECG-BP,user_sensei_661,1668087818.581,12
SCAI-ECG-BP,user_sensei_661,1668087819.581,12
SCAI-ECG-BP,user_sensei_661,1668087820.581,13
SCAI-ECG-BP,user_sensei_661,1668087821.581,13
SCAI-ECG-BP,user_sensei_661,1668087822.581,13
SCAI-ECG-BP,user_sensei_661,1668087823.581,13
SCAI-ECG-BP,user_sensei_661,1668087824.581,13
SCAI-ECG-BP,user_sensei_661,1668087825.581,12
SCAI-ECG-BP,user_sensei_661,1668087826.581,12
SCAI-ECG-BP,user_sensei_661,1668087827.581,12
SCAI-ECG-BP,user_sensei_661,1668087828.581,12
SCAI-ECG-BP,user_sensei_661,1668087829.581,12
SCAI-ECG-BP,user_sensei_661,1668087830.581,12
SCAI-ECG-BP,user_sensei_661,1668087831.581,12
SCAI-ECG-BP,user_sensei_661,1668087832.581,12
SCAI-ECG-BP,user_sensei_661,1668087833.581,13
SCAI-ECG-BP,user_sensei_661,1668087834.581,13
SCAI-ECG-BP,user_sensei_661,1668087835.581,13
SCAI-ECG-BP,user_sensei_661,1668087836.581,13
SCAI-ECG-BP,user_sensei_661,1668087837.581,13
SCAI-ECG-BP,user_sensei_661,1668087838.581,13
SCAI-ECG-BP,user_sensei_661,1668087839.581,14
SCAI-ECG-BP,user_sensei_661,1668087840.581,14
SCAI-ECG-BP,user_sensei_661,1668087841.581,13
SCAI-ECG-BP,user_sensei_661,1668087842.581,13
SCAI-ECG-BP,user_sensei_661,1668087843.581,12
SCAI-ECG-BP,user_sensei_661,1668087844.581,12
SCAI-ECG-BP,user_sensei_661,1668087845.581,12
SCAI-ECG-BP,user_sensei_661,1668087846.581,12
SCAI-ECG-BP,user_sensei_661,1668087847.581,12
SCAI-ECG-BP,user_sensei_661,1668087848.581,12
SCAI-ECG-BP,user_sensei_661,1668087849.581,12
SCAI-ECG-BP,user_sensei_661,1668087850.581,12
SCAI-ECG-BP,user_sensei_661,1668087851.581,12
SCAI-ECG-BP,user_sensei_661,1668087852.581,12
SCAI-ECG-BP,user_sensei_661,1668087853.581,12
SCAI-ECG-BP,user_sensei_661,1668087854.581,12
SCAI-ECG-BP,user_sensei_661,1668087855.581,12
SCAI-ECG-BP,user_sensei_661,1668087856.581,12
SCAI-ECG-BP,user_sensei_661,1668087857.581,12
SCAI-ECG-BP,user_sensei_661,1668087858.581,12
SCAI-ECG-BP,user_sensei_661,1668087859.581,12
SCAI-ECG-BP,user_sensei_661,1668087860.581,12
SCAI-ECG-BP,user_sensei_661,1668087861.581,12
SCAI-ECG-BP,user_sensei_661,1668087862.581,12
SCAI-ECG-BP,user_sensei_661,1668087863.581,12
SCAI-ECG-BP,user_sensei_661,1668087864.581,12
SCAI-ECG-BP,user_sensei_661,1668087865.581,12
SCAI-ECG-BP,user_sensei_661,1668087866.581,12
SCAI-ECG-BP,user_sensei_661,1668087867.581,12
