projectId,userId,time,hr
SCAI-ECG-BP,user_sensei_223,1668438129.692,83
SCAI-ECG-BP,user_sensei_223,1668438130.692,83
SCAI-ECG-BP,user_sensei_223,1668438131.692,84
SCAI-ECG-BP,user_sensei_223,1668438132.692,84
SCAI-ECG-BP,user_sensei_223,1668438133.692,85
SCAI-ECG-BP,user_sensei_223,1668438134.692,86
SCAI-ECG-BP,user_sensei_223,1668438135.692,87
SCAI-ECG-BP,user_sensei_223,1668438136.692,88
SCAI-ECG-BP,user_sensei_223,1668438137.692,88
SCAI-ECG-BP,user_sensei_223,1668438138.692,88
SCAI-ECG-BP,user_sensei_223,1668438139.692,88
SCAI-ECG-BP,user_sensei_223,1668438140.692,87
SCAI-ECG-BP,user_sensei_223,1668438141.692,86
SCAI-ECG-BP,user_sensei_223,1668438142.692,85
SCAI-ECG-BP,user_sensei_223,1668438143.692,84
SCAI-ECG-BP,user_sensei_223,1668438144.692,83
SCAI-ECG-BP,user_sensei_223,1668438145.692,83
SCAI-ECG-BP,user_sensei_223,1668438146.692,82
SCAI-ECG-BP,user_sensei_223,1668438147.692,82
SCAI-ECG-BP,user_sensei_223,1668438148.692,81
SCAI-ECG-BP,user_sensei_223,1668438149.692,81
SCAI-ECG-BP,user_sensei_223,1668438150.692,81
SCAI-ECG-BP,user_sensei_223,1668438151.692,84
SCAI-ECG-BP,user_sensei_223,1668438152.692,87
SCAI-ECG-BP,user_sensei_223,1668438153.692,89
SCAI-ECG-BP,user_sensei_223,1668438154.693,92
SCAI-ECG-BP,user_sensei_223,1668438155.692,94
SCAI-ECG-BP,user_sensei_223,1668438156.692,93
SCAI-ECG-BP,user_sensei_223,1668438157.693,91
SCAI-ECG-BP,user_sensei_223,1668438158.692,89
SCAI-ECG-BP,user_sensei_223,1668438159.692,87
SCAI-ECG-BP,user_sensei_223,1668438160.693,86
SCAI-ECG-BP,user_sensei_223,1668438161.692,86
SCAI-ECG-BP,user_sensei_223,1668438162.692,87
SCAI-ECG-BP,user_sensei_223,1668438163.693,89
SCAI-ECG-BP,user_sensei_223,1668438164.692,90
SCAI-ECG-BP,user_sensei_223,1668438165.692,91
SCAI-ECG-BP,user_sensei_223,1668438166.692,92
SCAI-ECG-BP,user_sensei_223,1668438167.692,92
SCAI-ECG-BP,user_sensei_223,1668438168.692,92
SCAI-ECG-BP,user_sensei_223,1668438169.692,91
SCAI-ECG-BP,user_sensei_223,1668438170.692,90
SCAI-ECG-BP,user_sensei_223,1668438171.692,88
SCAI-ECG-BP,user_sensei_223,1668438172.692,87
SCAI-ECG-BP,user_sensei_223,1668438173.692,87
