projectId,userId,time,x,y,z
SCAI-ECG-BP,user_sensei_642,1666078316.067,-229,-300,-1919
SCAI-ECG-BP,user_sensei_642,1666078316.267,1091,-568,-2310
SCAI-ECG-BP,user_sensei_642,1666078316.467,826,-6,-2120
SCAI-ECG-BP,user_sensei_642,1666078316.667,-239,-1375,1656
SCAI-ECG-BP,user_sensei_642,1666078316.867,613,705,1815
SCAI-ECG-BP,user_sensei_642,1666078317.067,1261,-94,2806
SCAI-ECG-BP,user_sensei_642,1666078317.267,-343,174,780
SCAI-ECG-BP,user_sensei_642,1666078317.467,-491,-735,1010
SCAI-ECG-BP,user_sensei_642,1666078317.667,-39,248,2126
SCAI-ECG-BP,user_sensei_642,1666078317.867,-780,-935,1825
SCAI-ECG-BP,user_sensei_642,1666078318.067,-522,-304,1462
SCAI-ECG-BP,user_sensei_642,1666078318.267,-216,703,2583
SCAI-ECG-BP,user_sensei_642,1666078318.467,1079,2716,-485
SCAI-ECG-BP,user_sensei_642,1666078318.667,422,1499,-1403
SCAI-ECG-BP,user_sensei_642,1666078318.867,548,954,-1714
SCAI-ECG-BP,user_sensei_642,1666078319.067,976,1705,-1340
SCAI-ECG-BP,user_sensei_642,1666078319.267,2269,495,1175
SCAI-ECG-BP,user_sensei_642,1666078319.467,971,-1038,1681
SCAI-ECG-BP,user_sensei_642,1666078319.667,-12,183,553
SCAI-ECG-BP,user_sensei_642,1666078319.867,60,-78,2070
