time,projectId,userId,rr
1667895728.0,SCAI_PILOT,user_sensei_178,403
1667895749.0,SCAI_PILOT,user_sensei_178,314
1667895749.001,SCAI_PILOT,user_sensei_178,324
1667895749.002,SCAI_PILOT,user_sensei_178,685
1667895749.003,SCAI_PILOT,user_sensei_178,375
1667895768.0,SCAI_PILOT,user_sensei_178,306
1667895770.0,SCAI_PILOT,user_sensei_178,379
1667895778.0,SCAI_PILOT,user_sensei_178,359
1667895778.001,SCAI_PILOT,user_sensei_178,372
1667895778.002,SCAI_PILOT,user_sensei_178,655
1667895778.003,SCAI_PILOT,user_sensei_178,378
1667895783.0,SCAI_PILOT,user_sensei_178,380
1667896828.0,SCAI_PILOT,user_sensei_178,933
1667896828.001,SCAI_PILOT,user_sensei_178,598
1667896917.0,SCAI_PILOT,user_sensei_178,854
1667897773.0,SCAI_PILOT,user_sensei_178,679
1667897775.0,SCAI_PILOT,user_sensei_178,753
1667897775.001,SCAI_PILOT,user_sensei_178,706
1667897775.002,SCAI_PILOT,user_sensei_178,673
1667897777.0,SCAI_PILOT,user_sensei_178,648
1667897794.0,SCAI_PILOT,user_sensei_178,708
1667897794.001,SCAI_PILOT,user_sensei_178,797
1667897794.002,SCAI_PILOT,user_sensei_178,734
1667897798.0,SCAI_PILOT,user_sensei_178,979
1667897798.001,SCAI_PILOT,user_sensei_178,600
1667897817.0,SCAI_PILOT,user_sensei_178,686
1667897825.0,SCAI_PILOT,user_sensei_178,745
1667897828.0,SCAI_PILOT,user_sensei_178,940
1667897828.001,SCAI_PILOT,user_sensei_178,883
1667897828.002,SCAI_PILOT,user_sensei_178,805
1667897836.0,SCAI_PILOT,user_sensei_178,744
1667897838.0,SCAI_PILOT,user_sensei_178,770
1667897838.001,SCAI_PILOT,user_sensei_178,776
1667897838.002,SCAI_PILOT,user_sensei_178,690
1667897989.0,SCAI_PILOT,user_sensei_178,806
1667897992.0,SCAI_PILOT,user_sensei_178,869
1667898011.0,SCAI_PILOT,user_sensei_178,955
1667898013.0,SCAI_PILOT,user_sensei_178,785
1667898014.0,SCAI_PILOT,user_sensei_178,816
1667898014.001,SCAI_PILOT,user_sensei_178,833
1667898016.0,SCAI_PILOT,user_sensei_178,765
1667898016.001,SCAI_PILOT,user_sensei_178,768
1667898016.002,SCAI_PILOT,user_sensei_178,860
1667898019.0,SCAI_PILOT,user_sensei_178,894
1667898021.0,SCAI_PILOT,user_sensei_178,799
1667898022.0,SCAI_PILOT,user_sensei_178,757
1667898022.001,SCAI_PILOT,user_sensei_178,878
1667898024.0,SCAI_PILOT,user_sensei_178,1008
1667898024.001,SCAI_PILOT,user_sensei_178,939
1667898024.002,SCAI_PILOT,user_sensei_178,852
1667898026.0,SCAI_PILOT,user_sensei_178,772
1667898027.0,SCAI_PILOT,user_sensei_178,739
1667898027.001,SCAI_PILOT,user_sensei_178,697
1667898029.0,SCAI_PILOT,user_sensei_178,1818
1667898030.0,SCAI_PILOT,user_sensei_178,953
1667898030.001,SCAI_PILOT,user_sensei_178,832
1667898032.0,SCAI_PILOT,user_sensei_178,781
1667898032.001,SCAI_PILOT,user_sensei_178,749
1667898034.0,SCAI_PILOT,user_sensei_178,908
1667898035.0,SCAI_PILOT,user_sensei_178,1028
1667898035.001,SCAI_PILOT,user_sensei_178,936
1667898035.002,SCAI_PILOT,user_sensei_178,841
1667898037.0,SCAI_PILOT,user_sensei_178,757
1667898038.0,SCAI_PILOT,user_sensei_178,748
1667898039.0,SCAI_PILOT,user_sensei_178,873
1667898040.0,SCAI_PILOT,user_sensei_178,959
1667898040.001,SCAI_PILOT,user_sensei_178,945
1667898042.0,SCAI_PILOT,user_sensei_178,850
1667898042.001,SCAI_PILOT,user_sensei_178,759
1667898043.0,SCAI_PILOT,user_sensei_178,833
1667898043.001,SCAI_PILOT,user_sensei_178,893
1667898045.0,SCAI_PILOT,user_sensei_178,944
1667898046.0,SCAI_PILOT,user_sensei_178,907
1667898047.0,SCAI_PILOT,user_sensei_178,818
1667898048.0,SCAI_PILOT,user_sensei_178,876
1667898048.001,SCAI_PILOT,user_sensei_178,931
1667898048.002,SCAI_PILOT,user_sensei_178,902
1667898050.0,SCAI_PILOT,user_sensei_178,824
1667898051.0,SCAI_PILOT,user_sensei_178,778
1667898051.001,SCAI_PILOT,user_sensei_178,821
1667898053.0,SCAI_PILOT,user_sensei_178,927
1667898054.0,SCAI_PILOT,user_sensei_178,972
1667898055.0,SCAI_PILOT,user_sensei_178,940
1667898056.0,SCAI_PILOT,user_sensei_178,838
1667898056.001,SCAI_PILOT,user_sensei_178,788
1667898056.002,SCAI_PILOT,user_sensei_178,863
1667898058.0,SCAI_PILOT,user_sensei_178,978
1667898059.0,SCAI_PILOT,user_sensei_178,907
1667898059.001,SCAI_PILOT,user_sensei_178,806
1667898061.0,SCAI_PILOT,user_sensei_178,723
1667898061.001,SCAI_PILOT,user_sensei_178,755
1667898061.002,SCAI_PILOT,user_sensei_178,772
1667898063.0,SCAI_PILOT,user_sensei_178,854
1667898069.0,SCAI_PILOT,user_sensei_178,821
1667898075.0,SCAI_PILOT,user_sensei_178,995
1667898076.0,SCAI_PILOT,user_sensei_178,921
1667898077.0,SCAI_PILOT,user_sensei_178,830
1667898077.001,SCAI_PILOT,user_sensei_178,727
1667898077.002,SCAI_PILOT,user_sensei_178,808
1667898079.0,SCAI_PILOT,user_sensei_178,979
1667898080.0,SCAI_PILOT,user_sensei_178,981
1667898080.001,SCAI_PILOT,user_sensei_178,865
1667898082.0,SCAI_PILOT,user_sensei_178,845
1667898083.0,SCAI_PILOT,user_sensei_178,939
1667898083.001,SCAI_PILOT,user_sensei_178,902
1667898085.0,SCAI_PILOT,user_sensei_178,862
1667898085.001,SCAI_PILOT,user_sensei_178,784
1667898085.002,SCAI_PILOT,user_sensei_178,768
1667898086.0,SCAI_PILOT,user_sensei_178,902
1667898088.0,SCAI_PILOT,user_sensei_178,1015
1667898088.001,SCAI_PILOT,user_sensei_178,930
1667898090.0,SCAI_PILOT,user_sensei_178,824
1667898091.0,SCAI_PILOT,user_sensei_178,763
1667898091.001,SCAI_PILOT,user_sensei_178,813
1667898091.002,SCAI_PILOT,user_sensei_178,940
1667898093.0,SCAI_PILOT,user_sensei_178,1022
1667898094.0,SCAI_PILOT,user_sensei_178,946
1667898095.0,SCAI_PILOT,user_sensei_178,819
1667898096.0,SCAI_PILOT,user_sensei_178,791
1667898096.001,SCAI_PILOT,user_sensei_178,853
1667898098.0,SCAI_PILOT,user_sensei_178,966
1667898099.0,SCAI_PILOT,user_sensei_178,885
1667898099.001,SCAI_PILOT,user_sensei_178,897
1667898099.002,SCAI_PILOT,user_sensei_178,984
1667898101.0,SCAI_PILOT,user_sensei_178,1004
1667898101.001,SCAI_PILOT,user_sensei_178,959
1667898102.0,SCAI_PILOT,user_sensei_178,853
1667898104.0,SCAI_PILOT,user_sensei_178,866
1667898104.001,SCAI_PILOT,user_sensei_178,850
1667898106.0,SCAI_PILOT,user_sensei_178,904
1667898107.0,SCAI_PILOT,user_sensei_178,841
1667898107.001,SCAI_PILOT,user_sensei_178,771
1667898107.002,SCAI_PILOT,user_sensei_178,831
1667898109.0,SCAI_PILOT,user_sensei_178,945
1667898110.0,SCAI_PILOT,user_sensei_178,947
1667898110.001,SCAI_PILOT,user_sensei_178,911
1667898112.0,SCAI_PILOT,user_sensei_178,810
1667898112.001,SCAI_PILOT,user_sensei_178,803
1667898114.0,SCAI_PILOT,user_sensei_178,905
1667898115.0,SCAI_PILOT,user_sensei_178,926
1667898115.001,SCAI_PILOT,user_sensei_178,817
1667898115.002,SCAI_PILOT,user_sensei_178,800
1667898117.0,SCAI_PILOT,user_sensei_178,909
1667898118.0,SCAI_PILOT,user_sensei_178,925
1667898118.001,SCAI_PILOT,user_sensei_178,957
1667898120.0,SCAI_PILOT,user_sensei_178,809
1667898121.0,SCAI_PILOT,user_sensei_178,747
1667898121.001,SCAI_PILOT,user_sensei_178,890
1667898121.002,SCAI_PILOT,user_sensei_178,1054
1667898123.0,SCAI_PILOT,user_sensei_178,997
1667898123.001,SCAI_PILOT,user_sensei_178,851
1667898125.0,SCAI_PILOT,user_sensei_178,851
1667898126.0,SCAI_PILOT,user_sensei_178,947
1667898126.001,SCAI_PILOT,user_sensei_178,928
1667898128.0,SCAI_PILOT,user_sensei_178,813
1667898128.001,SCAI_PILOT,user_sensei_178,749
