projectId,userId,time,x,y,z
SCAI-ECG-BP,user_sensei_223,1668438000.082,423,2180,39
SCAI-ECG-BP,user_sensei_223,1668438000.282,78,2124,-157
SCAI-ECG-BP,user_sensei_223,1668438000.482,5,1802,122
SCAI-ECG-BP,user_sensei_223,1668438000.682,-285,1978,17
SCAI-ECG-BP,user_sensei_223,1668438000.882,-57,1992,267
SCAI-ECG-BP,user_sensei_223,1668438001.082,-85,1963,182
SCAI-ECG-BP,user_sensei_223,1668438001.282,117,2254,87
SCAI-ECG-BP,user_sensei_223,1668438001.482,612,1518,-321
SCAI-ECG-BP,user_sensei_223,1668438001.682,279,1911,-113
SCAI-ECG-BP,user_sensei_223,1668438001.882,230,1796,-118
SCAI-ECG-BP,user_sensei_223,1668438002.082,-300,1934,57
SCAI-ECG-BP,user_sensei_223,1668438002.282,-411,2045,163
SCAI-ECG-BP,user_sensei_223,1668438002.482,-496,1899,279
SCAI-ECG-BP,user_sensei_223,1668438002.682,-412,2052,218
SCAI-ECG-BP,user_sensei_223,1668438002.882,-335,1644,329
SCAI-ECG-BP,user_sensei_223,1668438003.082,-28,2157,316
SCAI-ECG-BP,user_sensei_223,1668438003.282,71,2097,345
SCAI-ECG-BP,user_sensei_223,1668438003.482,-64,1841,410
SCAI-ECG-BP,user_sensei_223,1668438003.682,276,2272,443
SCAI-ECG-BP,user_sensei_223,1668438003.882,225,1987,408
SCAI-ECG-BP,user_sensei_223,1668438004.082,114,2140,461
SCAI-ECG-BP,user_sensei_223,1668438004.282,39,1971,474
SCAI-ECG-BP,user_sensei_223,1668438004.482,-502,1853,426
SCAI-ECG-BP,user_sensei_223,1668438004.682,-363,1784,534
SCAI-ECG-BP,user_sensei_223,1668438004.882,-539,2054,567
SCAI-ECG-BP,user_sensei_223,1668438005.082,-579,1879,509
SCAI-ECG-BP,user_sensei_223,1668438005.282,-529,1920,409
SCAI-ECG-BP,user_sensei_223,1668438005.482,-369,1783,809
SCAI-ECG-BP,user_sensei_223,1668438005.682,-439,1876,757
SCAI-ECG-BP,user_sensei_223,1668438005.882,-404,1903,729
SCAI-ECG-BP,user_sensei_223,1668438006.082,-376,1880,720
SCAI-ECG-BP,user_sensei_223,1668438006.282,-408,1948,727
SCAI-ECG-BP,user_sensei_223,1668438006.482,-374,1842,769
SCAI-ECG-BP,user_sensei_223,1668438006.682,-536,1777,638
SCAI-ECG-BP,user_sensei_223,1668438006.882,-584,1816,738
SCAI-ECG-BP,user_sensei_223,1668438007.082,-518,1725,748
SCAI-ECG-BP,user_sensei_223,1668438007.282,-461,1645,821
SCAI-ECG-BP,user_sensei_223,1668438007.482,59,2326,423
SCAI-ECG-BP,user_sensei_223,1668438007.682,-259,2123,852
SCAI-ECG-BP,user_sensei_223,1668438007.882,-445,1748,914
