projectId,userId,time,x,y,z
SCAI-ECG-BP,user_sensei_642,1667998800.048,-1012,1735,79
SCAI-ECG-BP,user_sensei_642,1667998800.248,-973,1697,-3
SCAI-ECG-BP,user_sensei_642,1667998800.448,-1014,1786,-20
SCAI-ECG-BP,user_sensei_642,1667998800.648,-978,1714,-29
SCAI-ECG-BP,user_sensei_642,1667998800.848,-1058,1755,-16
SCAI-ECG-BP,user_sensei_642,1667998801.048,-1033,1771,35
SCAI-ECG-BP,user_sensei_642,1667998801.248,-1001,1683,-32
SCAI-ECG-BP,user_sensei_642,1667998801.448,-1045,1731,-38
SCAI-ECG-BP,user_sensei_642,1667998801.648,-1022,1773,-29
SCAI-ECG-BP,user_sensei_642,1667998801.848,-1063,1712,-5
SCAI-ECG-BP,user_sensei_642,1667998802.048,-1039,1684,-52
SCAI-ECG-BP,user_sensei_642,1667998802.248,-1036,1763,-34
SCAI-ECG-BP,user_sensei_642,1667998802.448,-1027,1719,-58
SCAI-ECG-BP,user_sensei_642,1667998802.648,-978,1673,7
SCAI-ECG-BP,user_sensei_642,1667998802.848,-1017,1742,-103
SCAI-ECG-BP,user_sensei_642,1667998803.048,-1059,1804,-24
SCAI-ECG-BP,user_sensei_642,1667998803.248,-997,1695,-48
SCAI-ECG-BP,user_sensei_642,1667998803.448,-960,1678,-88
SCAI-ECG-BP,user_sensei_642,1667998803.648,-978,1784,-86
SCAI-ECG-BP,user_sensei_642,1667998803.848,-1033,1758,-118
SCAI-ECG-BP,user_sensei_642,1667998804.048,-1014,1728,-82
SCAI-ECG-BP,user_sensei_642,1667998804.248,-1022,1707,-100
SCAI-ECG-BP,user_sensei_642,1667998804.448,-1079,1768,-108
SCAI-ECG-BP,user_sensei_642,1667998804.648,-986,1674,-18
SCAI-ECG-BP,user_sensei_642,1667998804.848,-1001,1700,-98
SCAI-ECG-BP,user_sensei_642,1667998805.048,-1047,1723,-111
SCAI-ECG-BP,user_sensei_642,1667998805.248,-1050,1730,-30
SCAI-ECG-BP,user_sensei_642,1667998805.448,-1020,1754,-26
SCAI-ECG-BP,user_sensei_642,1667998805.648,-1020,1714,-124
SCAI-ECG-BP,user_sensei_642,1667998805.848,-1002,1752,-4
SCAI-ECG-BP,user_sensei_642,1667998806.048,-1007,1741,-2
SCAI-ECG-BP,user_sensei_642,1667998806.248,-1041,1755,-17
SCAI-ECG-BP,user_sensei_642,1667998806.448,-1011,1710,-11
SCAI-ECG-BP,user_sensei_642,1667998806.648,-1038,1755,58
SCAI-ECG-BP,user_sensei_642,1667998806.848,-1008,1738,-89
SCAI-ECG-BP,user_sensei_642,1667998807.048,-1049,1752,0
SCAI-ECG-BP,user_sensei_642,1667998807.248,-1011,1684,-56
SCAI-ECG-BP,user_sensei_642,1667998807.448,-987,1740,-1
SCAI-ECG-BP,user_sensei_642,1667998807.648,-973,1691,18
SCAI-ECG-BP,user_sensei_642,1667998807.848,-1128,1795,-17
SCAI-ECG-BP,user_sensei_642,1667998808.048,-1027,1767,-31
SCAI-ECG-BP,user_sensei_642,1667998808.248,-1044,1715,-42
SCAI-ECG-BP,user_sensei_642,1667998808.448,-1036,1710,-12
SCAI-ECG-BP,user_sensei_642,1667998808.648,-1032,1714,-4
SCAI-ECG-BP,user_sensei_642,1667998808.848,-1029,1731,-72
SCAI-ECG-BP,user_sensei_642,1667998809.048,-1038,1787,9
SCAI-ECG-BP,user_sensei_642,1667998809.248,-1081,1734,8
SCAI-ECG-BP,user_sensei_642,1667998809.448,-994,1809,91
SCAI-ECG-BP,user_sensei_642,1667998809.648,-1013,1737,27
SCAI-ECG-BP,user_sensei_642,1667998809.848,-969,1717,59
SCAI-ECG-BP,user_sensei_642,1667998810.048,-1040,1762,28
SCAI-ECG-BP,user_sensei_642,1667998810.248,-1056,1745,-15
SCAI-ECG-BP,user_sensei_642,1667998810.448,-1029,1719,5
SCAI-ECG-BP,user_sensei_642,1667998810.648,-1023,1710,-43
SCAI-ECG-BP,user_sensei_642,1667998810.848,-1066,1670,-78
SCAI-ECG-BP,user_sensei_642,1667998811.048,-1057,1748,-59
SCAI-ECG-BP,user_sensei_642,1667998811.248,-1082,1730,-125
SCAI-ECG-BP,user_sensei_642,1667998811.448,-1109,1749,-7
SCAI-ECG-BP,user_sensei_642,1667998811.648,-1042,1762,-93
SCAI-ECG-BP,user_sensei_642,1667998811.848,-1040,1756,-95
SCAI-ECG-BP,user_sensei_642,1667998812.048,-1012,1742,-75
SCAI-ECG-BP,user_sensei_642,1667998812.248,-968,1738,-161
SCAI-ECG-BP,user_sensei_642,1667998812.448,-1068,1725,-53
SCAI-ECG-BP,user_sensei_642,1667998812.648,-1035,1729,-87
SCAI-ECG-BP,user_sensei_642,1667998812.848,-1058,1723,-86
SCAI-ECG-BP,user_sensei_642,1667998813.048,-1052,1730,-85
SCAI-ECG-BP,user_sensei_642,1667998813.248,-1021,1738,-114
SCAI-ECG-BP,user_sensei_642,1667998813.448,-1002,1742,-65
SCAI-ECG-BP,user_sensei_642,1667998813.648,-982,1782,-62
SCAI-ECG-BP,user_sensei_642,1667998813.848,-1096,1622,-172
SCAI-ECG-BP,user_sensei_642,1667998814.048,-1042,1786,-59
SCAI-ECG-BP,user_sensei_642,1667998814.248,-1081,1617,27
SCAI-ECG-BP,user_sensei_642,1667998814.448,-1070,1612,106
SCAI-ECG-BP,user_sensei_642,1667998814.648,-1172,1592,226
SCAI-ECG-BP,user_sensei_642,1667998814.848,-1271,1527,371
SCAI-ECG-BP,user_sensei_642,1667998815.048,-1301,1490,377
SCAI-ECG-BP,user_sensei_642,1667998815.248,-1288,1505,310
SCAI-ECG-BP,user_sensei_642,1667998815.448,-1260,1568,326
SCAI-ECG-BP,user_sensei_642,1667998815.648,-1235,1552,295
SCAI-ECG-BP,user_sensei_642,1667998815.848,-1207,1598,312
SCAI-ECG-BP,user_sensei_642,1667998816.048,-1172,1616,248
SCAI-ECG-BP,user_sensei_642,1667998816.248,-1184,1640,211
SCAI-ECG-BP,user_sensei_642,1667998816.448,-1162,1590,158
SCAI-ECG-BP,user_sensei_642,1667998816.648,-1148,1640,206
SCAI-ECG-BP,user_sensei_642,1667998816.848,-1117,1665,248
SCAI-ECG-BP,user_sensei_642,1667998817.048,-1133,1652,241
SCAI-ECG-BP,user_sensei_642,1667998817.248,-1120,1659,233
SCAI-ECG-BP,user_sensei_642,1667998817.448,-1143,1641,215
SCAI-ECG-BP,user_sensei_642,1667998817.648,-1129,1668,229
SCAI-ECG-BP,user_sensei_642,1667998817.848,-1193,1592,157
SCAI-ECG-BP,user_sensei_642,1667998818.048,-1081,1568,211
SCAI-ECG-BP,user_sensei_642,1667998818.248,-1314,1772,261
SCAI-ECG-BP,user_sensei_642,1667998818.448,-1107,1611,299
SCAI-ECG-BP,user_sensei_642,1667998818.648,-1175,1616,229
SCAI-ECG-BP,user_sensei_642,1667998818.848,-1147,1638,235
SCAI-ECG-BP,user_sensei_642,1667998819.048,-1268,1823,264
SCAI-ECG-BP,user_sensei_642,1667998819.248,-1111,1569,22
SCAI-ECG-BP,user_sensei_642,1667998819.448,-1061,1679,91
SCAI-ECG-BP,user_sensei_642,1667998819.648,-1126,1666,243
SCAI-ECG-BP,user_sensei_642,1667998819.848,-1128,1706,224
SCAI-ECG-BP,user_sensei_642,1667998820.048,-1150,1635,231
SCAI-ECG-BP,user_sensei_642,1667998820.248,-1205,1571,159
SCAI-ECG-BP,user_sensei_642,1667998820.448,-1193,1640,154
SCAI-ECG-BP,user_sensei_642,1667998820.648,-1174,1652,202
SCAI-ECG-BP,user_sensei_642,1667998820.848,-1178,1622,227
SCAI-ECG-BP,user_sensei_642,1667998821.048,-1145,1632,168
SCAI-ECG-BP,user_sensei_642,1667998821.248,-1096,1486,367
SCAI-ECG-BP,user_sensei_642,1667998821.448,-1226,1667,185
SCAI-ECG-BP,user_sensei_642,1667998821.648,-1187,1604,172
SCAI-ECG-BP,user_sensei_642,1667998821.848,-1112,1705,271
SCAI-ECG-BP,user_sensei_642,1667998822.048,-1154,1565,288
SCAI-ECG-BP,user_sensei_642,1667998822.248,-1209,1589,300
SCAI-ECG-BP,user_sensei_642,1667998822.448,-1208,1593,260
SCAI-ECG-BP,user_sensei_642,1667998822.648,-1197,1597,267
SCAI-ECG-BP,user_sensei_642,1667998822.848,-1134,1606,256
SCAI-ECG-BP,user_sensei_642,1667998823.048,-1199,1594,252
SCAI-ECG-BP,user_sensei_642,1667998823.248,-1123,1680,166
SCAI-ECG-BP,user_sensei_642,1667998823.448,-1161,1638,194
SCAI-ECG-BP,user_sensei_642,1667998823.648,-1097,1684,122
SCAI-ECG-BP,user_sensei_642,1667998823.848,-1071,1661,178
SCAI-ECG-BP,user_sensei_642,1667998824.048,-1225,1702,334
SCAI-ECG-BP,user_sensei_642,1667998824.248,-1153,1632,155
SCAI-ECG-BP,user_sensei_642,1667998824.448,-1204,1630,283
SCAI-ECG-BP,user_sensei_642,1667998824.648,-1106,1648,309
SCAI-ECG-BP,user_sensei_642,1667998824.848,-1208,1630,204
SCAI-ECG-BP,user_sensei_642,1667998825.048,-1167,1669,178
SCAI-ECG-BP,user_sensei_642,1667998825.248,-1182,1639,230
SCAI-ECG-BP,user_sensei_642,1667998825.448,-1160,1600,224
SCAI-ECG-BP,user_sensei_642,1667998825.648,-1178,1608,239
SCAI-ECG-BP,user_sensei_642,1667998825.848,-1200,1605,190
SCAI-ECG-BP,user_sensei_642,1667998826.048,-1180,1636,224
SCAI-ECG-BP,user_sensei_642,1667998826.248,-1132,1569,271
SCAI-ECG-BP,user_sensei_642,1667998826.448,-1184,1636,150
SCAI-ECG-BP,user_sensei_642,1667998826.648,-1081,1759,546
SCAI-ECG-BP,user_sensei_642,1667998826.848,-906,1654,534
SCAI-ECG-BP,user_sensei_642,1667998827.048,-831,1716,697
SCAI-ECG-BP,user_sensei_642,1667998827.248,-789,1600,1039
SCAI-ECG-BP,user_sensei_642,1667998827.448,-823,1714,941
SCAI-ECG-BP,user_sensei_642,1667998827.648,-842,1579,1113
SCAI-ECG-BP,user_sensei_642,1667998827.848,-756,1557,1078
SCAI-ECG-BP,user_sensei_642,1667998828.048,-756,1562,1130
SCAI-ECG-BP,user_sensei_642,1667998828.248,-762,1596,1036
SCAI-ECG-BP,user_sensei_642,1667998828.448,-733,1533,1004
SCAI-ECG-BP,user_sensei_642,1667998828.648,-770,1569,989
SCAI-ECG-BP,user_sensei_642,1667998828.848,-731,1562,1052
SCAI-ECG-BP,user_sensei_642,1667998829.048,-728,1576,1040
SCAI-ECG-BP,user_sensei_642,1667998829.248,-743,1570,1012
SCAI-ECG-BP,user_sensei_642,1667998829.448,-709,1570,1097
SCAI-ECG-BP,user_sensei_642,1667998829.648,-691,1556,1091
