projectId,userId,time,x,y,z
SCAI-ECG-BP,user_sensei_642,1667996749.648,-779,1662,1059
SCAI-ECG-BP,user_sensei_642,1667996749.848,-737,1691,973
SCAI-ECG-BP,user_sensei_642,1667996750.048,-709,1609,1009
SCAI-ECG-BP,user_sensei_642,1667996750.248,-755,1655,1035
SCAI-ECG-BP,user_sensei_642,1667996750.448,-738,1631,1036
SCAI-ECG-BP,user_sensei_642,1667996750.648,-642,1653,1075
SCAI-ECG-BP,user_sensei_642,1667996750.848,-661,1642,1086
SCAI-ECG-BP,user_sensei_642,1667996751.048,-717,1567,1028
SCAI-ECG-BP,user_sensei_642,1667996751.248,-645,1693,980
SCAI-ECG-BP,user_sensei_642,1667996751.448,-826,1599,1068
SCAI-ECG-BP,user_sensei_642,1667996751.648,-462,1803,1017
SCAI-ECG-BP,user_sensei_642,1667996751.848,-845,1536,994
SCAI-ECG-BP,user_sensei_642,1667996752.048,-594,1470,1070
SCAI-ECG-BP,user_sensei_642,1667996752.248,-599,1644,1056
SCAI-ECG-BP,user_sensei_642,1667996752.448,-676,1623,1049
SCAI-ECG-BP,user_sensei_642,1667996752.648,-459,1649,1119
SCAI-ECG-BP,user_sensei_642,1667996752.848,-586,1642,1061
SCAI-ECG-BP,user_sensei_642,1667996753.048,-613,1675,1044
SCAI-ECG-BP,user_sensei_642,1667996753.248,-600,1643,1029
SCAI-ECG-BP,user_sensei_642,1667996753.448,-655,1663,1047
SCAI-ECG-BP,user_sensei_642,1667996753.648,-652,1689,1039
SCAI-ECG-BP,user_sensei_642,1667996753.848,-824,1654,744
SCAI-ECG-BP,user_sensei_642,1667996754.048,-742,1612,973
SCAI-ECG-BP,user_sensei_642,1667996754.248,-1045,1768,630
SCAI-ECG-BP,user_sensei_642,1667996754.448,-1121,1724,863
SCAI-ECG-BP,user_sensei_642,1667996754.648,-982,1630,836
SCAI-ECG-BP,user_sensei_642,1667996754.848,-812,1659,905
SCAI-ECG-BP,user_sensei_642,1667996755.048,-734,1572,832
SCAI-ECG-BP,user_sensei_642,1667996755.248,-622,1762,1017
SCAI-ECG-BP,user_sensei_642,1667996755.448,-545,1646,942
SCAI-ECG-BP,user_sensei_642,1667996755.648,-615,1741,922
SCAI-ECG-BP,user_sensei_642,1667996755.848,-653,1693,933
SCAI-ECG-BP,user_sensei_642,1667996756.048,-697,1671,968
SCAI-ECG-BP,user_sensei_642,1667996756.248,-783,1632,1003
SCAI-ECG-BP,user_sensei_642,1667996756.448,-790,1624,1214
SCAI-ECG-BP,user_sensei_642,1667996756.648,-971,1433,1009
SCAI-ECG-BP,user_sensei_642,1667996756.848,-1041,1387,1120
SCAI-ECG-BP,user_sensei_642,1667996757.048,-963,1585,1045
SCAI-ECG-BP,user_sensei_642,1667996757.248,-888,1521,1057
SCAI-ECG-BP,user_sensei_642,1667996757.448,-989,1515,1049
SCAI-ECG-BP,user_sensei_642,1667996757.648,-824,1508,1020
SCAI-ECG-BP,user_sensei_642,1667996757.848,-795,1597,956
SCAI-ECG-BP,user_sensei_642,1667996758.048,-873,1560,1018
SCAI-ECG-BP,user_sensei_642,1667996758.248,-857,1536,1004
SCAI-ECG-BP,user_sensei_642,1667996758.448,-873,1550,1051
SCAI-ECG-BP,user_sensei_642,1667996758.648,-886,1530,1021
SCAI-ECG-BP,user_sensei_642,1667996758.848,-736,1534,1029
SCAI-ECG-BP,user_sensei_642,1667996759.048,-802,1556,1094
SCAI-ECG-BP,user_sensei_642,1667996759.248,-709,1606,1049
SCAI-ECG-BP,user_sensei_642,1667996759.448,-728,1514,1144
SCAI-ECG-BP,user_sensei_642,1667996759.648,-769,1510,1147
SCAI-ECG-BP,user_sensei_642,1667996759.848,-691,1574,1187
SCAI-ECG-BP,user_sensei_642,1667996760.048,-736,1523,1154
SCAI-ECG-BP,user_sensei_642,1667996760.248,-743,1579,1158
SCAI-ECG-BP,user_sensei_642,1667996760.448,-745,1621,1081
SCAI-ECG-BP,user_sensei_642,1667996760.648,-707,1557,1098
SCAI-ECG-BP,user_sensei_642,1667996760.848,-681,1623,1010
SCAI-ECG-BP,user_sensei_642,1667996761.048,-687,1632,1056
SCAI-ECG-BP,user_sensei_642,1667996761.248,-658,1645,1039
SCAI-ECG-BP,user_sensei_642,1667996761.448,-652,1499,1028
SCAI-ECG-BP,user_sensei_642,1667996761.648,-576,1577,1139
SCAI-ECG-BP,user_sensei_642,1667996761.848,-699,1613,1085
SCAI-ECG-BP,user_sensei_642,1667996762.048,-657,1482,1033
SCAI-ECG-BP,user_sensei_642,1667996762.248,-753,1512,1167
SCAI-ECG-BP,user_sensei_642,1667996762.448,-709,1521,1119
SCAI-ECG-BP,user_sensei_642,1667996762.648,-642,1465,1110
SCAI-ECG-BP,user_sensei_642,1667996762.848,-669,1597,1071
SCAI-ECG-BP,user_sensei_642,1667996763.048,-650,1616,1053
SCAI-ECG-BP,user_sensei_642,1667996763.248,-715,1594,1082
SCAI-ECG-BP,user_sensei_642,1667996763.448,-738,1608,1034
SCAI-ECG-BP,user_sensei_642,1667996763.648,-679,1590,1110
SCAI-ECG-BP,user_sensei_642,1667996763.848,-639,1615,1065
SCAI-ECG-BP,user_sensei_642,1667996764.048,-648,1661,1012
SCAI-ECG-BP,user_sensei_642,1667996764.248,-831,1419,857
SCAI-ECG-BP,user_sensei_642,1667996764.448,-912,1483,874
SCAI-ECG-BP,user_sensei_642,1667996764.648,-905,1762,709
SCAI-ECG-BP,user_sensei_642,1667996764.848,-545,1991,279
SCAI-ECG-BP,user_sensei_642,1667996765.048,-386,2002,303
SCAI-ECG-BP,user_sensei_642,1667996765.248,-328,1989,351
SCAI-ECG-BP,user_sensei_642,1667996765.448,-302,1992,266
SCAI-ECG-BP,user_sensei_642,1667996765.648,-147,2021,109
SCAI-ECG-BP,user_sensei_642,1667996765.848,-143,2084,-9
SCAI-ECG-BP,user_sensei_642,1667996766.048,-140,2102,-68
SCAI-ECG-BP,user_sensei_642,1667996766.248,-175,2039,-40
SCAI-ECG-BP,user_sensei_642,1667996766.448,-244,2025,98
SCAI-ECG-BP,user_sensei_642,1667996766.648,-388,2004,150
SCAI-ECG-BP,user_sensei_642,1667996766.848,-362,1985,265
SCAI-ECG-BP,user_sensei_642,1667996767.048,-514,1799,469
SCAI-ECG-BP,user_sensei_642,1667996767.248,-985,1739,790
SCAI-ECG-BP,user_sensei_642,1667996767.448,-919,1605,757
SCAI-ECG-BP,user_sensei_642,1667996767.648,-926,1578,859
SCAI-ECG-BP,user_sensei_642,1667996767.848,-901,1718,755
SCAI-ECG-BP,user_sensei_642,1667996768.048,-868,1656,761
SCAI-ECG-BP,user_sensei_642,1667996768.248,-757,1680,881
SCAI-ECG-BP,user_sensei_642,1667996768.448,-510,1723,973
SCAI-ECG-BP,user_sensei_642,1667996768.648,-523,1703,928
SCAI-ECG-BP,user_sensei_642,1667996768.848,-522,1672,1012
SCAI-ECG-BP,user_sensei_642,1667996769.048,-534,1722,980
SCAI-ECG-BP,user_sensei_642,1667996769.248,-556,1659,990
SCAI-ECG-BP,user_sensei_642,1667996769.448,-601,1709,1014
SCAI-ECG-BP,user_sensei_642,1667996769.648,-515,1727,1041
SCAI-ECG-BP,user_sensei_642,1667996769.848,-473,1722,959
SCAI-ECG-BP,user_sensei_642,1667996770.048,-479,1758,1004
SCAI-ECG-BP,user_sensei_642,1667996770.248,-443,1715,968
SCAI-ECG-BP,user_sensei_642,1667996770.448,-485,1761,981
SCAI-ECG-BP,user_sensei_642,1667996770.648,-431,1731,954
SCAI-ECG-BP,user_sensei_642,1667996770.848,-450,1732,948
SCAI-ECG-BP,user_sensei_642,1667996771.048,-453,1771,920
SCAI-ECG-BP,user_sensei_642,1667996771.248,-451,1777,979
SCAI-ECG-BP,user_sensei_642,1667996771.448,-394,1767,931
SCAI-ECG-BP,user_sensei_642,1667996771.648,-369,1772,980
SCAI-ECG-BP,user_sensei_642,1667996771.848,-358,1772,924
SCAI-ECG-BP,user_sensei_642,1667996772.048,-339,1780,932
SCAI-ECG-BP,user_sensei_642,1667996772.248,-304,1785,961
SCAI-ECG-BP,user_sensei_642,1667996772.448,-338,1789,960
SCAI-ECG-BP,user_sensei_642,1667996772.648,-318,1784,933
SCAI-ECG-BP,user_sensei_642,1667996772.848,-305,1772,743
SCAI-ECG-BP,user_sensei_642,1667996773.048,-354,1810,923
SCAI-ECG-BP,user_sensei_642,1667996773.248,-297,1794,949
SCAI-ECG-BP,user_sensei_642,1667996773.448,-322,1773,960
SCAI-ECG-BP,user_sensei_642,1667996773.648,-321,1749,924
SCAI-ECG-BP,user_sensei_642,1667996773.848,-320,1782,940
SCAI-ECG-BP,user_sensei_642,1667996774.048,-382,1838,867
